Index  OmegaX[°/s]  OmegaY[°/s]  OmegaZ[°/s]  fX[m/s/s]  fY[m/s/s]  fZ[m/s/s]  Temperature[°C]  Roll[°]  Pitch[°]  Heading[°]  
178  -0.260070  -0.291174  -0.557936  0.090047  -0.033123  9.747483  33.71  0.000  0.000  0.000  
179  -0.229337  -0.321358  -0.550709  0.105067  -0.027028  9.735806  33.72  0.000  0.000  0.000  
180  -0.167975  -0.366608  -0.520946  0.087689  -0.030637  9.739042  33.72  0.000  0.000  0.000  
181  -0.251372  -0.336267  -0.551136  0.097843  -0.031151  9.748750  33.72  0.000  0.000  0.000  
182  -0.236256  -0.336708  -0.513270  0.093084  -0.028023  9.756391  33.72  0.000  0.000  0.000  
183  -0.236301  -0.321167  -0.520658  0.100934  -0.023534  9.716607  33.72  0.000  0.000  0.000  
184  -0.198715  -0.312399  -0.580856  0.093140  -0.023456  9.739779  33.69  0.000  0.000  0.000  
185  -0.281989  -0.305824  -0.565955  0.102600  -0.034975  9.735938  33.69  0.000  0.000  0.000  
186  -0.191556  -0.290526  -0.519988  0.106812  -0.032700  9.732163  33.69  0.000  0.000  0.000  
187  -0.198839  -0.335653  -0.588624  0.106339  -0.017705  9.755496  33.69  0.000  0.000  0.000  
188  -0.190630  -0.413119  -0.529085  0.092583  -0.020624  9.720428  33.69  0.000  0.000  0.000  
189  -0.175747  -0.367055  -0.513357  0.099641  -0.031200  9.741699  33.71  0.000  0.000  0.000  
190  -0.198775  -0.312820  -0.558157  0.091873  -0.029796  9.751297  33.71  0.000  0.000  0.000  
191  -0.266710  -0.359782  -0.558939  0.106759  -0.035535  9.760637  33.71  0.000  0.000  0.000  
192  -0.244669  -0.236621  -0.549829  0.092517  -0.025920  9.743761  33.71  0.000  0.000  0.000  
193  -0.258817  -0.374898  -0.551599  0.100292  -0.028126  9.712461  33.71  0.000  0.000  0.000  
194  -0.221421  -0.335750  -0.588741  0.108608  -0.032652  9.727413  33.71  0.000  0.000  0.000  
195  -0.243698  -0.374756  -0.551538  0.099058  -0.029256  9.746631  33.71  0.000  0.000  0.000  
196  -0.244652  -0.352352  -0.573721  0.095544  -0.022572  9.728830  33.71  0.000  0.000  0.000  
197  -0.229950  -0.252911  -0.519577  0.102055  -0.029518  9.734424  33.71  0.000  0.000  0.000  
198  -0.205568  -0.381383  -0.574240  0.096664  -0.030838  9.730457  33.71  0.000  0.000  0.000  
199  -0.236184  -0.359143  -0.558896  0.096720  -0.024742  9.734168  33.70  0.000  0.000  0.000  
200  -0.243834  -0.375154  -0.536379  0.101473  -0.028392  9.727751  33.70  0.000  0.000  0.000  
201  -0.229327  -0.344799  -0.535831  0.096709  -0.024937  9.741670  33.70  0.000  0.000  0.000  
202  -0.259763  -0.329498  -0.558421  0.095003  -0.016719  9.730343  33.70  0.000  0.000  0.000  
203  -0.252167  -0.359762  -0.596526  0.088979  -0.022085  9.716836  33.70  0.000  0.000  0.000  
204  -0.214263  -0.305674  -0.558037  0.106299  -0.021981  9.753261  33.73  0.000  0.000  0.000  
205  -0.169017  -0.274304  -0.565065  0.087725  -0.026994  9.736652  33.73  0.000  0.000  0.000  
206  -0.304365  -0.345531  -0.490920  0.094287  -0.028206  9.744685  33.73  0.000  0.000  0.000  
207  -0.229008  -0.320724  -0.565921  0.086603  -0.019947  9.729659  33.73  0.000  0.000  0.000  
208  -0.229287  -0.344518  -0.550964  0.100364  -0.017724  9.745909  33.73  0.000  0.000  0.000  
209  -0.228593  -0.343553  -0.558714  0.088283  -0.029724  9.755924  33.72  0.000  0.000  0.000  
210  -0.244095  -0.322338  -0.467698  0.096683  -0.028424  9.737182  33.72  0.000  0.000  0.000  
211  -0.282637  -0.330532  -0.520654  0.095460  -0.029399  9.752248  33.72  0.000  0.000  0.000  
212  -0.229389  -0.298782  -0.512650  0.086566  -0.022680  9.742990  33.72  0.000  0.000  0.000  
213  -0.282337  -0.344833  -0.573822  0.093760  -0.022173  9.722922  33.72  0.000  0.000  0.000  
214  -0.273805  -0.358821  -0.589339  0.100246  -0.032241  9.721376  33.72  0.000  0.000  0.000  
215  -0.252139  -0.306593  -0.527923  0.089532  -0.026525  9.725415  33.72  0.000  0.000  0.000  
216  -0.191342  -0.366619  -0.588898  0.099742  -0.020750  9.738093  33.72  0.000  0.000  0.000  
217  -0.235967  -0.366386  -0.574157  0.097740  -0.042672  9.737025  33.72  0.000  0.000  0.000  
218  -0.237060  -0.306731  -0.512730  0.106274  -0.026651  9.727593  33.72  0.000  0.000  0.000  
219  -0.199126  -0.344210  -0.558383  0.092520  -0.027078  9.718410  33.71  0.000  0.000  0.000  
220  -0.244675  -0.314842  -0.497703  0.104496  -0.023182  9.749269  33.71  0.000  0.000  0.000  
221  -0.199190  -0.289990  -0.565364  0.087718  -0.027483  9.739630  33.71  0.000  0.000  0.000  
222  -0.221783  -0.352486  -0.535877  0.109847  -0.027561  9.733562  33.71  0.000  0.000  0.000  
223  -0.176853  -0.314575  -0.489812  0.103813  -0.030527  9.765590  33.71  0.000  0.000  0.000  
224  -0.160816  -0.374766  -0.520887  0.116303  -0.040329  9.733458  33.72  0.000  0.000  0.000  
225  -0.139141  -0.298957  -0.481915  0.107604  -0.012043  9.737013  33.72  0.000  0.000  0.000  
226  -0.243970  -0.375552  -0.521220  0.097890  -0.028485  9.718264  33.72  0.000  0.000  0.000  
227  -0.245143  -0.299469  -0.527659  0.096203  -0.016028  9.733166  33.72  0.000  0.000  0.000  
228  -0.222445  -0.299114  -0.535135  0.103092  -0.046055  9.728635  33.72  0.000  0.000  0.000  
229  -0.207251  -0.290791  -0.557697  0.099629  -0.033631  9.723123  33.72  0.000  0.000  0.000  
230  -0.222474  -0.275814  -0.542447  0.092551  -0.023422  9.724910  33.72  0.000  0.000  0.000  
231  -0.252317  -0.299069  -0.527795  0.099669  -0.028012  9.744042  33.72  0.000  0.000  0.000  
232  -0.236994  -0.330334  -0.482745  0.107222  -0.051560  9.734997  33.72  0.000  0.000  0.000  
233  -0.320755  -0.291537  -0.588365  0.091182  -0.038086  9.761684  33.72  0.000  0.000  0.000  
234  -0.267698  -0.323449  -0.482659  0.101477  -0.025938  9.748918  33.73  0.000  0.000  0.000  
235  -0.251889  -0.344755  -0.543515  0.096090  -0.027420  9.739141  33.73  0.000  0.000  0.000  
236  -0.252511  -0.291102  -0.557905  0.096678  -0.029407  9.726529  33.73  0.000  0.000  0.000  
237  -0.259552  -0.367941  -0.558879  0.096060  -0.030956  9.730771  33.73  0.000  0.000  0.000  
